iter	Passed	Remaining
408	4479	6473
409	4490	6461
410	4500	6449
411	4512	6440
412	4523	6429
413	4534	6418
414	4545	6407
415	4556	6396
416	4567	6386
417	4578	6375
418	4590	6365
419	4602	6356
420	4613	6345
421	4625	6335
422	4637	6325
423	4649	6316
424	4661	6306
425	4672	6296
426	4683	6285
427	4695	6275
428	4707	6266
429	4720	6256
430	4731	6246
431	4743	6237
432	4755	6227
433	4767	6217
434	4778	6206
435	4789	6195
436	4801	6186
437	4816	6179
438	4829	6171
439	4841	6162
440	4854	6153
441	4866	6143
442	4879	6135
443	4892	6126
444	4904	6116
445	4916	6106
446	4929	6097
447	4942	6090
448	4955	6081
449	4971	6076
450	4983	6066
451	4995	6056
452	5007	6046
453	5020	6037
454	5033	6028
455	5045	6019
456	5057	6009
457	5068	5998
458	5080	5987
459	5091	5977
460	5104	5968
461	5116	5958
462	5128	5947
463	5140	5937
464	5153	5928
465	5164	5918
466	5176	5907
467	5188	5897
468	5199	5887
469	5211	5876
470	5222	5865
471	5235	5856
472	5246	5845
473	5258	5835
474	5270	5825
475	5281	5814
476	5293	5804
477	5305	5793
478	5317	5783
479	5328	5772
480	5341	5763
481	5353	5753
482	5365	5743
483	5377	5732
484	5388	5722
485	5400	5711
486	5412	5701
487	5423	5690
488	5436	5680
489	5448	5670
490	5460	5660
491	5472	5650
492	5483	5639
493	5495	5629
494	5507	5618
495	5518	5607
496	5530	5597
497	5542	5586
498	5555	5577
499	5567	5567
500	5579	5557
501	5590	5546
502	5602	5535
503	5613	5524
504	5625	5514
505	5636	5503
506	5648	5492
507	5659	5481
508	5673	5473
509	5685	5462
510	5697	5452
511	5709	5442
512	5721	5431
513	5734	5421
514	5745	5410
515	5758	5401
516	5770	5391
517	5782	5380
518	5794	5370
519	5807	5360
520	5820	5350
521	5833	5341
522	5847	5333
523	5860	5323
524	5873	5314
525	5886	5304
526	5898	5294
527	5910	5283
528	5921	5272
529	5933	5261
530	5944	5250
531	5956	5239
532	5968	5229
533	5980	5218
534	5992	5208
535	6005	5198
536	6017	5188
537	6029	5177
538	6041	5166
539	6052	5155
540	6063	5144
541	6075	5133
542	6087	5123
543	6098	5111
544	6110	5101
545	6123	5091
546	6136	5081
547	6148	5071
548	6161	5061
549	6173	5051
550	6186	5041
551	6198	5030
552	6211	5020
553	6224	5010
554	6235	5000
555	6247	4989
556	6261	4980
557	6273	4969
558	6285	4958
559	6296	4947
560	6308	4936
561	6320	4925
562	6332	4915
563	6343	4904
564	6355	4893
565	6367	4882
566	6379	4872
567	6391	4861
568	6404	4850
569	6416	4840
570	6429	4830
571	6441	4819
572	6453	4809
573	6465	4798
574	6477	4787
575	6489	4776
576	6500	4765
577	6512	4754
578	6525	4744
579	6537	4734
580	6549	4723
581	6562	4712
582	6573	4702
583	6585	4691
584	6598	4680
585	6610	4670
586	6623	4659
587	6635	4649
588	6648	4638
589	6660	4628
590	6672	4617
591	6684	4606
592	6695	4595
593	6706	4583
594	6718	4573
595	6730	4561
596	6741	4550
597	6753	4539
598	6764	4528
599	6776	4517
600	6788	4506
601	6800	4495
602	6813	4485
603	6824	4474
604	6836	4463
605	6848	4452
606	6859	4441
607	6872	4431
608	6884	4420
