iter	RMSE
610	7156.818282
611	7135.701193
612	7134.399514
613	7114.554776
614	7085.899953
615	7084.233931
616	7067.449014
617	7054.040504
618	7043.701649
619	7021.508785
620	7012.030644
621	6996.160665
622	6970.112763
623	6969.096039
624	6957.923699
625	6952.092056
626	6943.900256
627	6933.993567
628	6913.307515
629	6897.948923
630	6887.611187
631	6860.217779
632	6851.241873
633	6824.523506
634	6801.721012
635	6794.368376
636	6778.05375
637	6760.720471
638	6750.641201
639	6740.412168
640	6727.334271
641	6713.409739
642	6692.624742
643	6679.457066
644	6662.751408
645	6650.847936
646	6648.461631
647	6631.912544
648	6614.754945
649	6597.838356
650	6583.718072
651	6569.798523
652	6558.704011
653	6557.450103
654	6544.717366
655	6524.604936
656	6500.801789
657	6477.534144
658	6450.410806
659	6429.748139
660	6418.299706
661	6401.592143
662	6389.242544
663	6374.688563
664	6365.517727
665	6350.928359
666	6337.781531
667	6315.817872
668	6309.048403
669	6302.053201
670	6293.252934
671	6282.183144
672	6272.443517
673	6259.002069
674	6230.925617
675	6218.683731
676	6196.81942
677	6195.690245
678	6188.565449
679	6182.00477
680	6169.026615
681	6141.937376
682	6124.5604
683	6106.674114
684	6095.587763
685	6086.360492
686	6076.517258
687	6075.421297
688	6070.601123
689	6053.402122
690	6039.896312
691	6025.302503
692	6015.71036
693	5992.750097
694	5981.224772
695	5965.405947
696	5960.470426
697	5950.617608
698	5941.935397
699	5936.803556
700	5928.899788
701	5910.630648
702	5902.339754
703	5880.644366
704	5868.829389
705	5849.438945
706	5841.612558
707	5823.107025
708	5809.312473
709	5796.039826
710	5780.954846
711	5779.122602
712	5765.136183
713	5754.008964
714	5740.893633
715	5727.334891
716	5725.319142
717	5712.736169
718	5705.762798
719	5692.115865
720	5679.214576
721	5664.920147
722	5652.11831
723	5640.751792
724	5634.142348
725	5621.523333
726	5601.83904
727	5587.405664
728	5571.99692
729	5563.961684
730	5555.524897
731	5544.523014
732	5531.512047
733	5522.347904
734	5512.645222
735	5497.023483
736	5479.302179
737	5470.065125
738	5461.374041
739	5449.899194
740	5433.363408
741	5418.78427
742	5408.909318
743	5399.19444
744	5390.27147
745	5367.569649
746	5356.982164
747	5344.613113
748	5339.906233
749	5325.759935
750	5314.398684
751	5299.683775
752	5291.482609
753	5278.875527
754	5265.494271
755	5250.394919
756	5247.795113
757	5235.80843
758	5228.592204
